wildlife,count
Adaptation,123
Species,105
Population,95
Ecosystem,51
Range,37
Habitat,36
Kingdom,34
Terrestrial,33
Indigenous,32
Niche,27
Aquatic,26
Biomass,20
Migration,14
Threatened,10
Diurnal,10
Abiotic,8
Harvest,7
Territory,7
Endangered,7
Endemic,6
Family,6
Class,6
Forage,5
Taxonomy,4
Ornithology,4
Litter,4
Rare,4
Parasite,4
Edge,3
Larvae,2
Hatch,2
Corridor,2
Hibernation,2
Invertebrate,2
Clutch,2
Circadian,2
Cast,1
Aestivation,1
Alien species,1
Trophic level,1
Carrying capacity,1
Incubation,1
Estivation,1
Carnivore,1
Biotic factors,,1
Herbivore,1
