country,count
United States,152
China,117
Greenland,100
Canada,75
Australia,52
United Kingdom,46
Netherlands,44
India,42
Germany,36
Japan,36
Antarctica,36
France,34
Norway,32
Switzerland,28
Brazil,28
United States.,26
Italy,22
United States,,20
Mexico,20
Ireland,19
Denmark,18
Indonesia,18
Sweden,17
Ghana,16
Finland,16
South Africa,14
Nigeria,14
Kenya,14
New Zealand,14
Mongolia,13
Spain,13
Austria,13
Panama,11
Pakistan,11
Philippines,11
South Africa,,10
Guinea,9
United Kingdom,,9
Jordan,9
Singapore,9
Uganda,9
Belgium,8
Burkina Faso,8
Sudan,7
Thailand,7
Poland,7
Jersey,7
Colombia,7
Ethiopia,7
Greece,6
Morocco,6
Nepal,6
Argentina,6
Sri Lanka,6
Malaysia,6
Senegal,6
Russian Federation,6
Rwanda,6
Nicaragua,6
Zimbabwe,6
Mali,5
Malawi,5
South Africa.,5
Ecuador,5
Niger,5
Botswana,5
Benin,4
United States;,4
Chile,4
Zambia,4
Turkey,4
Peru,4
United Kingdom.,4
Czech Republic,4
Iceland,4
French Guiana,4
Bangladesh,4
Portugal,3
Solomon Islands,3
Marshall Islands,3
Guatemala,3
Seychelles,3
Congo,3
Georgia,3
Jamaica,3
Chad,3
Madagascar,3
Uruguay,3
Mauritania,3
Estonia,3
Luxembourg,3
French Polynesia,,3
Egypt,3
Burkina Faso,,3
Cambodia,2
Kazakhstan,2
French Guiana,,2
French Guiana.,2
Hong Kong,,2
Curaçao,2
Namibia,2
New Zealand.,2
Yemen,2
Puerto Rico,2
Kiribati,2
Bulgaria,2
French Polynesia,2
Cuba,2
Cyprus,2
French Polynesia.,2
Mozambique,2
Russian Federation.,2
Vanuatu,2
Burkina Faso.,2
Slovakia,2
United States?,2
Montenegro,2
Angola,1
Paraguay,1
New Caledonia,1
Bonaire, Sint Eustatius and Saba,1
Papua New Guinea,,1
Ukraine,1
Belize,1
Comoros,1
Viet Nam,1
Hong Kong,1
Costa Rica,1
Russian Federation;,1
Croatia,1
Cook Islands,1
"Côte d'Ivoire",1
Tuvalu,1
Lebanon,1
Liberia,1
Swaziland,1
Israel,1
United Kingdom;,1
Cameroon,1
Dominican Republic,,1
Oman,1
Algeria,1
Slovenia,1
Puerto Rico,,1
Hungary,1
South Sudan,1
Réunion,1
Russian Federation,,1
Honduras,1
Afghanistan,1
Bolivia,1
Saudi Arabia,1
Gambia,1
Martinique,1
Romania,1
Togo,1
Pitcairn,1
Cook Islands,,1
Marshall Islands.,1
Cook Islands.,1
