disease,count
malaria,47
infectious disease,24
diarrhea,16
suppression,15
gastroenteritis,15
stroke,15
dengue fever,13
chikungunya,13
influenza,13
asthma,12
encephalitis,12
heart disease,11
leptospirosis,10
cancer,8
cryptosporidiosis,8
mouth disease,7
schistosomiasis,7
yellow fever,,7
epilepsy,7
allergy,6
cardiovascular disease,6
respiratory disease,6
obesity,6
giardiasis,5
tuberculosis,5
avian influenza,4
cardiovascular disease,,4
post-traumatic stress disorder,4
hand, foot and mouth disease,4
leishmaniasis,4
campylobacteriosis,4
pneumonia,4
meningitis,4
skin cancer,3
plague,3
typhus,3
hemorrhagic fever with renal syndrome,3
hepatitis,3
hand, foot, and mouth disease,3
respiratory disease,,3
aids,3
scrub typhus,3
yellow fever,3
rabies,3
heart disease,,3
lung cancer,,3
filariasis,2
cysticercosis,2
viral disease,2
brucellosis,2
scarlet fever,2
relapsing fever,2
anthrax,2
anemia,2
arthritis,2
listeriosis,2
rhinitis,2
diabetes mellitus,2
cardiac arrest,2
skin cancer,,2
cystic fibrosis,2
paratyphoid fever,2
rash,2
cerebral palsy,2
measles,2
chronic obstructive pulmonary disease,2
polycythemia,1
lung disease,1
encephalopathy,1
tetanus,1
atherosclerosis,1
congestive heart failure.,1
myelofibrosis,1
chronic kidney disease,,1
cardiovascular disease.,1
miliaria,1
optic atrophy,1
dengue fever,,1
spotted fever,1
chronic kidney disease,1
bacterial disease,1
hand, foot and mouth disease,,1
allergic rhinitis,,1
multiple sclerosis,1
melioidosis,1
viral pneumonia,1
status epilepticus,1
chickenpox,1
scrub typhus,,1
rheumatoid arthritis,,1
cerebral palsy,,1
visceral leishmaniasis,1
clonorchiasis,1
typhoid fever,1
cystic fibrosis.,1
gastrointestinal disease,1
nephropathia epidemica,1
congestive heart failure,1
respiratory disease.,1
typhoid fever,,1
allergic rhinitis,1
mouth disease,,1
mumps,1
infectious disease.,1
hypersensitivity,1
ascariasis,1
gastrointestinal disease.,1
infectious disease,,1
dengue fever.,1
hyperglycemia,1
microcephaly,1
chronic obstructive pulmonary disease,,1
glucose intolerance,1
heart disease.,1
louse-borne relapsing fever,1
cercarial dermatitis,,1
cutaneous leishmaniasis,1
chronic obstructive pulmonary disease.,1
lung cancer.,1
acrodermatitis,1
dengue hemorrhagic fever,1
diabetes insipidus,,1
aspergillosis,1
shortness,1
acute myocardial infarction,1
parasitic disease,1
