funders,count
National Academy of Sciences,59
Royal Society,53
National Natural Science Foundation of China,30
University of California,26
National Science Foundation,21
Chinese Academy of Sciences,21
U.S. Geological Survey,19
United Nations,18
Research and Development,16
Chinese Academy of Sciences,,16
University of California,,16
National Academy of Sciences,,15
U.S. Geological Survey,,12
Princeton University,11
World Health Organization,10
Ministry of Education,,9
Ministry of Science and Technology,9
National Academy of Sciences.,9
Wageningen University,7
University of Chicago,7
Conservation International,7
Ministry of Education,7
Deutsche Forschungsgemeinschaft,7
SAS Institute,7
European Research Council,7
U.S. Department of Agriculture,,6
U.S. Department of Agriculture,6
Natural History Museum,,6
Environmental Protection Agency,6
European Commission,6
University of Reading,5
University of Michigan,5
European Commission,,5
North Carolina State University,5
Microsoft,5
Oregon State University,,5
National Park Service,5
Entomological Society of America,5
Cornell University,5
U.S. Fish and Wildlife Service,5
Department of Natural Resources,5
European Environment Agency,5
U.S. Department of the Interior,5
Seventh Framework Programme,5
University of Minnesota,4
University of East Anglia,4
Agriculture and Agri-Food Canada.,4
American Association for the Advancement of Science,4
University of Arizona,4
U.S. Environmental Protection Agency,,4
Yale University,4
University of North Carolina,4
University of Western Australia,4
American Meteorological Society,4
Monash University,,4
Natural Resources Conservation Service,,4
National Science Foundation.,4
Department for International Development,4
Agricultural Research Service,4
University of Washington,4
EMBO,4
Zoological Society of London,4
Brigham Young University,4
Ministry of the Environment,4
Animal and Plant Health Inspection Service,4
Environmental Protection Agency,,4
University of Guelph,3
Government of Canada,3
Universidad de Sevilla,3
U.S. Environmental Protection Agency.,3
Consejo Nacional de Investigaciones Científicas y Técnicas,3
Oregon State University.,3
U.S. Fish and Wildlife Service.,3
Met Office,3
Stanford University,,3
Smithsonian Institution,3
United Nations.,3
Utrecht University,3
Office of Science,3
Universidad de Chile,,3
Sichuan University,,3
Oregon State University,3
U.S. Environmental Protection Agency,3
Environmental Systems Research Institute,,3
National Taiwan University,,3
Office of Research and Development,3
Harvard University,3
European Parliament,3
U.S. Geological Survey.,3
Clemson University,3
Commonwealth Scholarship Commission,3
Center for Plant Conservation,3
