binomial,count
Gadus morhua,33
Xenophysogobio boulengeri,13
Xenophysogobio nudicorpa,12
Bolbometopon muricatum,12
Mobula mobular,9
Salmo salar,9
Platichthys flesus,9
Cheilinus undulatus,9
Fenneropenaeus merguiensis,8
Vazella pourtalesi,8
Trachidermus fasciatus,8
Acanthurus nigrofuscus,8
Clupea harengus,8
Schizothorax waltoni,8
Posidonia oceanica,8
Octopus maya,7
Panulirus gracilis,7
Platichthys solemdali,7
Larimichthys polyactis,7
Panulirus penicillatus,7
Euphausia superba,7
Lithodes santolla,7
Litopenaeus vannamei,7
Ctenochaetus striatus,6
Chelonia mydas,6
An. gambiae,6
Arachnocampa luminosa,6
Panulirus argus,6
Ammodytes personatus,6
Sardina pilchardus,6
Sprattus sprattus,6
Placopecten magellanicus,5
Zostera marina,5
Salvelinus alpinus,5
Plectropomus leopardus,5
Mytilus galloprovincialis,5
Centroberyx auratus,5
An. coluzzii,5
Saccostrea glomerata,5
Caretta caretta,5
Sardinella aurita,5
Katsuwonus pelamis,5
Alexandrium minutum,5
Thunnus albacares,5
Carcharhinus amblyrhynchos,5
Gobionotothen gibberifrons,5
Paralithodes camtschaticus,5
Melanogrammus aeglefinus,5
O. angasi,5
Triaenodon obesus,4
Ammodytes hexapterus,4
Parupeneus multifasciatus,4
Megaptera novaeangliae,4
Carcharodon carcharias,4
Eretmochelys imbricata,4
Prochilodus nigricans,4
Epinephelus coioides,4
Cymodocea nodosa,4
Cancer pagurus,4
Prionace glauca,4
Panulirus interruptus,4
Mnemiopsis leidyi,4
Callinectes sapidus,4
Arachnocampa tasmaniensis,4
Engraulis encrasicolus,4
Champsocephalus gunnari,4
Meretrix meretrix,4
Tenualosa ilisha,4
Mallotus villosus,4
Diadema antillarum,4
Strongylocentrotus droebachiensis,4
Notolabrus douglassi,4
Crassostrea gigas,4
Uria aalge,4
Zostera noltei,4
Carcharhinus melanopterus,4
Acanthurus tennenti,3
Hypophthalmus edentatus,3
Diadema africanum,3
Thalassiosira weissflogii,3
Liposarcus pardalis,3
O. mykiss,3
Cetoscarus ocellatus,3
An. arabiensis,3
Hypophthalmus marginatus,3
Mesocentrotus franciscanus,3
Chrysophrys auratus,3
Paralithodes brevipes,3
Lutjanus bohar,3
Notothenia rossii,3
Larimichthys crocea,3
Plectropomus punctatus,3
Cyclopterus lumpus,3
S. glomerata,3
Caranx hippos,3
Acanthurus xanthopterus,3
Thunnus spp,3
Crasostrea gigas,3
Zalophus californianus,3
Pollachius virens,3
Thunnus obesus,3
Henicorhynchus lobatus,3
O. nerka,3
Laminaria hyperborea,3
Pecten maximus,3
Anopheles arabiensis,3
Engraulis ringens,3
Haliotis corrugata,3
Colossoma macropomum,3
Phaeocystis globosa,3
Pheronema carpenteri,3
Haliotis fulgens,3
O. tshawytscha,3
Prochilodus tigrinum,3
Boreogadus saida,3
Sardinops sagax,3
Centropomus undecimalis,3
Mobula japanica,3
Scarus niger,3
Gadus macrocephalus,3
Eirene viridula,3
Reinhardtius hippoglossoides,3
Pseudocaranx georgianus,3
M. galloprovincialis,3
Pseudoplatystoma fasciatum,3
Dugong dugon,3
Placopecten maximus,3
Litopenaeus setiferus,3
Balaenoptera physalus,3
Anopheles gambiae,3
Pseudobrama simoni,3
Chlorurus strongylocephalos,3
Meuschenia scaber,3
Sebastes mentella,3
Chrysoblephus laticeps,3
Lamna ditropis,3
Anatopynia debilis,3
Palingenia longicauda,2
Heniochus acuminatus,2
Saduria entomon,2
Paralichthys lethostigma,2
Albula vulpes,2
Eugerres plumieri,2
Phoca vitulina,2
Aurelia aurita,2
Notolabrus douglassii,2
Semaprochiloduns insignis,2
Bagre marinus,2
Skeletonema costatum,2
Cyanea capillata,2
Labiobarbus lineatus,2
Delphinus delphis,2
Guinardia flaccida,2
Clytia hemisphaerica,2
Lobocheilos cryptopogon,2
Cyanea lamarckii,2
Leuckartiara octona,2
Notolabrus douglasii,2
Acanthurus leucosternon,2
Ephemera danica,2
Nephrops norvegicus,2
Lethrinus enigmatus,2
Cynoscion spp,2
Sphaerechinus granularis,2
Paralaubuca hypophthalmus,2
Gasterosteus aculeatus,2
Brachyplatystoma vaillanti,2
O. keta,2
Pleuronectes platessa,2
Lagocephalus sceleratus,2
Morus capensis,2
Panulirus pencillatus,2
Near future,2
Melicertum octocostatum,2
Cyclocheilichthys enoplos,2
Liopsetta glacialis,2
Carcharhinus limbatus,2
Chimaera lumpus,2
