funders,count
United Nations,37
World Health Organization,37
Royal Society,26
National Academy of Sciences,23
Environment Canada,12
Health Canada,11
Government of Canada,10
Centers for Disease Control and Prevention,9
Australian Research Council,8
National Science Foundation,8
Environmental Protection Agency,8
European Commission,8
Ministry of Health,8
Natural Sciences and Engineering Research Council of Canada,7
Department of Health,7
Public Health Agency,6
Natural Resources Canada,6
National Oceanic and Atmospheric Administration,6
George Mason University,6
World Health Organization,,6
University of California,5
Research and Development,5
University of Washington,,5
American Association for the Advancement of Science,4
United Nations,,4
Princeton University,4
University of Queensland,,4
University of Washington,4
World Health Organization;,4
U.S. Fish and Wildlife Service,4
Stanford University,4
National Academy of Sciences,,4
National Academy of Sciences.,4
U.S. Army,4
Ministry of Economy,3
Engineer Research and Development Center,,3
Medical Research Council,3
Yale University,3
U.S. Geological Survey,3
United Nations.,3
National Park Service,3
University of New Hampshire,3
University of British Columbia,,3
U.S. Environmental Protection Agency,3
National Science Foundation,,3
Agriculture and Agri-Food Canada,3
University of Melbourne,3
U.S. Geological Survey,,3
American Academy of Pediatrics,3
University of Chicago,3
University of California,,3
Ministry of Environment,,3
Department of Natural Resources,3
University of Alberta,3
Wilburforce Foundation,3
European Research Council,3
Environmental Protection Agency.,3
Natural Resources Canada,,3
University of East Anglia,,2
Sun Yat-sen University.,2
Ministry of the Environment.,2
Victoria University,2
National Institutes of Health,,2
National Institute for Environmental Studies,2
Geological Society of America,2
Fisheries and Oceans Canada,,2
University of Oklahoma,2
University of Arizona,2
Simmons College,2
University of Maryland,2
European Observatory on Health Systems and Policies,2
Government of Canada,,2
College of William and Mary,,2
U.S. Environmental Protection Agency.,2
Chinese Center for Disease Control and Prevention,2
U.S. Department of Agriculture,2
University of Newcastle, Australia.,2
China Agricultural University,2
University of Nebraska-Lincoln,2
Ain Shams University,,2
Public Health Institute,2
George Mason University,,2
Microsoft,2
Oregon State University,,2
Charles Sturt University,2
Smithsonian Institution,2
National Water Research Institute,2
Ministry of Environment,2
Université Laval,2
European Centre for Disease Prevention and Control,2
University of Adelaide,2
University of New Hampshire.,2
University of New Hampshire,,2
Johns Hopkins University,2
University College London,2
Ministry of Education,,2
American Meteorological Society,2
University of British Columbia.,2
Ministry of Land, Infrastructure, Transport and Tourism.,2
Office of Science,2
Hydro-Québec,2
Department of Primary Industries,,2
National Agricultural Statistics Service.,2
Public Health England,2
Department of Foreign Affairs and Trade,2
National Center for Atmospheric Research,2
University of Tasmania,,2
Iowa State University.,2
Environmental Systems Research Institute,,2
Royal Society,,2
Office of Energy,2
University of New South Wales.,2
Centers for Disease Control and Prevention,,2
Ministry of Agriculture, Forestry and Fisheries.,2
European Social Fund,2
Stockholm Environment Institute,2
Iowa State University,2
American Geophysical Union.,2
University of Exeter.,2
World Bank Group,2
Environment Canada,,2
Environment Canada;,2
University of New Brunswick,,2
University of Adelaide,,2
Maryland Department of Health and Mental Hygiene.,2
Deakin University,,2
Florida International University.,2
University of British Columbia,2
Conservation International,2
University of Sydney,2
National Natural Science Foundation of China,2
United Nations;,2
Natural Environment Research Council,2
Nationwide,2
Chinese Academy of Sciences,2
Science and Technology Directorate,2
National Institutes of Health,2
Orange,2
Health Research,2
European Environment Agency,2
University of Queensland,2
Commonwealth Scientific and Industrial Research Organisation,2
University of New England,2
