binomial,count
Aedes aegypti,11
Callitropsis nootkatensis,10
Popillia japonica,10
Empetrum nigrum,9
Bemisia tabaci,8
Pinus contorta,8
Vaccinium uliginosum,8
Yersinia pestis,7
Saccharina latissima,7
Dr. octopetala,7
S. bungeana,6
S. breviflora,6
S. grandis,6
S. baicalensis,6
Corallina officinalis,5
Aedes albopictus,5
Rh. confertissimum,5
Picea sitchensis,5
Populus tremuloides,5
Mimulus laciniatus,4
Sardinella aurita,4
Tsuga mertensiana,4
Tsuga heterophylla,4
Ae. aegypti,4
Cassiope tetragona,3
Ae. albopictus,3
Rhododendron confertissimum,3
Pascopyrum smithii,3
Betula nana,3
Quercus robur,3
Cordia alliodora,3
Pascopyrum pratensis,3
Dryas octopetala,3
Pseudotsuga menziesii,3
Pinus ponderosa,3
Cibicidoides mundulus,3
Pinus sylvestris,3
Anacardium excelsum,2
Gadus morhua,2
Idotea balthica,2
Betula platyphylla,2
Salix arctica,2
Olea europaea,2
Deschampsia antarctica,2
Distichlis spicata,2
Cedrela odorata,2
Ochotona curzoniae,2
Escherichia coli,2
An. arabiensis,2
Picea contorta,2
Spartina alterniflora,2
Trichuris trichiura,2
Caenorhabditis elegans,2
Popilla japonica,2
Colobanthus quitensis,2
Ixodes ricinus,2
Thuja plicata,2
Luehea seemanni,2
Picea engelmannii,2
Camelia sinensis,2
L. digitata,2
Kobresia humilis,2
Fucus vesiculosus,2
Rangifer tarandus,2
Tsuga plicata,2
Arbusular mucro,2
Culex pipiens,2
Anopheles gambiae,2
Hura crepitans,2
Camellia sinensis,2
Tabebuia rosea,2
Spartina patens,2
Larix gmelinii,2
Colobanthus tetragona,2
Culex quinquefasciatus,2
Melanoplus sanuinipes,1
Model testing,1
Dr. integrifolia,1
Pinus albicaulis,1
Ellisolandia elongata,1
Picoides pubescens,1
Psittiparus ruficeps,1
Delichon nipalense,1
Current climate,1
Manihot esculenta,1
Pinus edulis,1
Calocedrus decurrens,1
Solanum commersonii,1
Pyrola incarnate,1
Sphyrapicus varius,1
Puccinellia maritima,1
Neotoma albigula,1
Betula papyrifera,1
An. gambiae,1
Brassica rapa,1
Cyanistes caeruleus,1
Anemone rivularis,1
Pinus monticola,1
Osmunda regalis,1
Tectona grandis,1
Myiozetetes cayanensis,1
Vulpes vulpes,1
Picea glauca,1
Data analysis,1
Chiasmolithus altus,1
Culex coronator,1
Tipping points,1
Thaumetopoea pityocampa,1
Silene noctiflora,1
Pinus monophylla,1
Historical climate,1
Falco cherrug,1
Spelaeornis badeigularis,1
Rickettsia typhi,1
Stephanodiscus minutulus,1
Populus tremula,1
Accipiter cooperii,1
An. culicifacies,1
Populus trichocarpa,1
Vitis vinifera,1
Rhombomys opimus,1
Koeleria cristata,1
Bemisia argentifolii,1
Gaussian noise,1
Marmota himalayana,1
Spelaeornis caudatus,1
Kobresia pygmaea,1
Solanum tuberosum,1
Scirpus maritimus,1
Tiphia vernlais,1
Negative externality,1
Melanerpes erythrocephalus,1
Bromus tectorum,1
Sphyrapicus nuchalis,1
Pinus sabiniana,1
V. uliginosum,1
Melanerpes formicivorus,1
Phragmites australis,1
