disease,count
malaria,66
pica,16
infectious disease,16
encephalitis,14
suppression,12
cancer,12
influenza,10
tick infestation,9
tuberculosis,6
tick-borne encephalitis,6
rabies,6
conjunctivitis,5
avian influenza,4
obesity,4
infectious disease.,4
tick infestation.,4
relapsing fever,3
rubella,3
dirofilariasis,3
spotted fever,3
brucellosis,3
filariasis,2
schizophrenia,2
colorectal cancer,2
onchocerciasis,2
peritonitis,2
anemia,2
infectious disease,,2
babesiosis,2
chikungunya,2
hereditary nonpolyposis colorectal cancer,2
epilepsy,1
avian influenza.,1
tick infestation,,1
lung cancer,1
stuttering,1
tetanus,1
schistosomiasis,1
atherosclerosis,1
liver disease,1
ovarian cancer,1
myocarditis,1
ehrlichiosis,1
dengue fever,1
dementia,1
mouth disease,,1
trachoma,1
ectoparasitic infestation,1
lymphocytic choriomeningitis,1
bacterial disease.,1
multiple sclerosis,,1
metabolic syndrome,,1
lyme disease,1
heart disease,1
trichomoniasis,1
diphtheria,1
colorectal cancer,,1
cardiovascular disease,1
cataract,1
irritable bowel syndrome,1
protozoal disease,1
meningitis,1
heart disease.,1
rash,1
gastroenteritis,1
shortness,1
tick-borne relapsing fever,1
parasitic disease,1
