binomial,count
Parus major,200
Cyanistes caeruleus,63
Turdus merula,34
Passer domesticus,33
Quercus robur,25
Ficedula hypoleuca,24
Sylvia atricapilla,23
Sturnus vulgaris,23
Parus ater,21
Ixodes ricinus,20
Erithacus rubecula,19
Hirundo rustica,18
Parus montanus,18
Parus cristatus,15
Parus caeruleus,14
Taeniopygia guttata,14
Pica pica,13
Fringilla coelebs,13
Cx. pipiens,12
Gallus gallus,12
Phylloscopus trochilus,11
Crucihimalaya himalaica,11
Turdus philomelos,11
Ficedula albicollis,11
Cervus elaphus,11
Operophtera brumata,10
Capreolus capreolus,10
Tachycineta bicolor,9
C. harmani,9
Prunella modularis,9
Melospiza melodia,9
Columba palumbus,9
Fagus sylvatica,9
Acrocephalus scirpaceus,9
Poecile montanus,9
Vulpes vulpes,9
Arabidopsis thaliana,9
Emberiza schoeniclus,8
C. mantchuricum,8
Accipiter nisus,8
C. auritum,8
Phylloscopus collybita,8
Selasphorus rufus,8
C. crossoptilon,8
Emberiza citrinella,8
Alauda arvensis,8
Aegithalos caudatus,8
Trichomonas gallinae,8
Luscinia svecica,7
Quercus petraea,7
Culex pipiens,7
Carduelis chloris,7
Buteo lineatus,7
Cuculus canorus,7
Amazilia beryllina,7
Saxicola rubetra,7
Pocillopora damicornis,7
Coturnix japonica,7
Garrulax elliotii,7
Cinclus cinclus,7
Astrochelys yniphora,7
Phasianus colchicus,7
Anas platyrhynchos,7
Microvelia horvathi,6
Melanotaenia duboulayi,6
Plasmodium relictum,6
Phoenicurus phoenicurus,6
Cx. torrentium,6
Rangifer tarandus,6
Lophophanes cristatus,6
Ursus arctos,6
Gasterosteus aculeatus,6
Pygoscelis adeliae,6
Coturnix coturnix,6
Picea abies,6
Canis lupus,6
Motacilla alba,6
Carduelis carduelis,6
Oryctolagus cuniculus,6
Larus canus,6
Emmenopterys henryi,6
Rhinella marina,6
Borrelia burgdorferi,6
Fraxinus excelsior,6
Danio rerio,6
Ixodes hexagonus,6
Corylus avellana,6
Periparus ater,6
Turdus viscivorus,6
Dermacentor reticulatus,6
Pyrrhula pyrrhula,6
Passer montanus,5
Carpodacus mexicanus,5
Parus monticolus,5
Parus palustris,5
Caprimulgus europaeus,5
Pinus sylvestris,5
Acropora millepora,5
Leptodactylodon bicolor,5
Crucihimalaya rubella,5
Fulica atra,5
Taxus baccata,5
Cardioglossa schioetzi,5
Ovis aries,5
Selasphorus iodantha,5
Pinus silvestris,5
Sialia mexicana,5
Turdus pilaris,5
Ixodes canisuga,5
Anthus pratensis,5
Ficedula parva,5
Turdus migratorius,5
Oenanthe oenanthe,5
Falco tinnunculus,5
Locustella luscinioides,5
Acrocephalus palustris,5
Syngamus trachea,5
Phoenicurus ochruros,5
Alcedo atthis,5
Nothobranchius furzeri,5
Setaria tundra,5
Meles meles,5
