climate,count
climate,7314
weather,1109
agricultural,853
IPCC,701
atmospheric,684
Intergovernmental Panel on Climate Change,672
greenhouse gas,611
anthropogenic,569
Arctic,380
phenology,323
carbon dioxide,271
atmosphere,264
Drought,227
ozone,208
ecosystem services,185
Global warming,164
deforestation,163
Anthropogenic,153
sea ice,134
Antarctic,134
Intergovernmental Panel on Climate Change.,130
radiative forcing,129
invasive species,127
Holocene,118
anthropogenic climate change,107
methane,102
sea surface temperature,96
climatology,92
oceans,89
pollutant,85
carbon sequestration,85
ENSO,79
United Nations Framework Convention on Climate Change,77
Paris Agreement,67
albedo,55
carbon cycle,55
anthropogenic climate change.,50
urban heat island,50
desertification,49
irradiance,49
Intergovernmental Panel on Climate Change,,49
ecosystem services.,49
global climate model,44
invasive species,,44
Anthropocene,44
nitrous oxide,40
meteorology,40
ecosystem services,,38
water vapor,37
carbon footprint,35
homogenization,33
invasive species.,32
carbon dioxide,,32
Ocean acidification,31
Paris Agreement,,29
Southern Ocean,28
tipping points,27
Keeling,26
sea ice,,25
insolation,23
Paris Agreement.,20
Kyoto Protocol,20
anthropogenic climate change,,19
tree rings,17
El Niño-Southern Oscillation,17
ice core,16
anthropogenic global warming,15
carbon dioxide.,15
Global warming,,14
sea surface temperature,,13
Sustainable development,13
Little Ice Age,13
greenhouse effect,13
emission intensity,13
Intergovernmental Panel on Climate Change;,13
sunspot,12
Sea level rise,12
carbon tax,12
carbon sequestration.,12
carbon sequestration,,12
carbon cycle,,12
radiative forcing,,11
thermohaline circulation,11
radiative forcing.,10
carbon cycle.,10
tropopause,9
United Nations Framework Convention on Climate Change.,9
Renewable energy,8
sea ice.,8
greenhouse gas,,8
thermocline,8
Arrhenius,8
Feedbacks,8
Gulf Stream,8
United Nations Framework Convention on Climate Change,,8
PDO,7
enteric fermentation,7
water vapor,,7
ice age,7
ice core,,7
greenhouse effect.,7
greenhouse effect,,7
Southern Ocean.,6
carbon footprint,,6
greenhouse gas.,6
Fossil fuel,6
Climate sensitivity,6
polar amplification,6
Southern Ocean,,5
global climate model,,5
carbon offsets,5
carbon tax.,5
carbon tax,,5
cap and trade,5
nitrous oxide,,5
Global climate model,5
Biofuel,4
Kyoto Protocol.,4
anthropogenic climate change?,4
carbon footprint.,4
global climate model.,4
Sustainable development,,4
ice age.,4
Climate engineering,4
Tropospheric ozone,4
Clean Power Plan,4
Desalination,4
Kyoto Protocol,,3
sea surface temperature.,3
Global cooling,3
tipping points.,3
orbital forcing,3
atmospheric sciences,3
Argo,3
emission intensity,,3
thermal inertia,3
cosmic rays,3
United Nations Framework Convention on Climate Change;,3
Greenland Ice Sheet,2
anthropogenic global warming,,2
sea ice?,2
Black carbon,2
anthropogenic climate change;,2
core sample,2
carbon footprint;,2
tipping points,,2
tipping points;,2
glacial lakes,2
emission intensity.,2
water vapor.,2
orbital forcing.,2
ecosystem services?,2
invasive species?,2
nitrous oxide.,2
instrumental temperature record,2
Gulf Stream,,2
carbon dioxide;,2
Paleocene–Eocene Thermal Maximum,2
Carbon capture and storage,2
Effective temperature,2
dendroclimatology,2
Glaciation,2
enteric fermentation,,2
AMO,2
ice core.,2
cap and trade,,2
urban heat island.,2
North Atlantic Deep Water,2
ecosystem services;,2
Sea level rise,,2
Interdecadal Pacific Oscillation,1
Paris Agreement;,1
Pacific decadal oscillation,1
Volcanism,1
global climate regime,,1
mode of variability,1
Southern Ocean?,1
Milankovitch cycles,1
anthropogenic global warming.,1
Atlantic Multidecadal Oscillation.,1
Greenland Ice Sheet.,1
global climate model;,1
global dimming,1
Interdecadal Pacific Oscillation,,1
Clean Development Mechanism,1
emission standards,1
Satellite measurements,1
Climate action,1
Black carbon,,1
atmospheric sciences.,1
United Nations, Framework Convention on Climate Change,,1
atmospheric sciences,,1
instrumental temperature record.,1
instrumental temperature record,,1
refrigerants,1
Atlantic Multidecadal Oscillation,1
Carbon dioxide removal,1
Medieval Warm Period,1
its own effects,1
Climate engineering,,1
El Niño-Southern Oscillation,,1
greenhouse gas;,1
Little Ice Age,,1
El Niño-Southern Oscillation.,1
thermal inertia,,1
invasive species;,1
Ocean acidification,,1
polar amplification.,1
Gulf Stream.,1
Forest dieback,1
North Atlantic oscillation,1
Nuclear power,1
cosmic rays,,1
tree rings.,1
tree rings,,1
Climate sensitivity,,1
urban heat island;,1
carbon sequestration?,1
carbon sequestration;,1
paleoclimatology,1
global warming period.,1
urban heat island,,1
Carbon credit,1
cap and trade.,1
glacial lakes.,1
paleothermometer,1
Pacific decadal oscillation,,1
